Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 03, 2019",17.79,18.23,17.56,18.11,18.11,"1,217,500"
"Dec 02, 2019",18.19,18.43,17.73,18.10,18.10,"2,814,900"
"Nov 29, 2019",18.50,18.78,18.02,18.24,18.24,"2,529,600"
"Nov 27, 2019",17.33,18.80,17.33,18.62,18.62,"11,617,400"
"Nov 26, 2019",16.65,17.31,16.50,16.70,16.70,"4,066,500"
"Nov 25, 2019",16.08,16.53,16.06,16.47,16.47,"943,000"
"Nov 22, 2019",15.82,16.01,15.74,15.99,15.99,"1,085,600"
"Nov 21, 2019",16.01,16.17,15.81,15.86,15.86,"941,500"
"Nov 20, 2019",16.14,16.43,15.81,15.94,15.94,"1,428,300"
"Nov 19, 2019",16.04,16.28,15.93,16.17,16.17,"765,200"
"Nov 18, 2019",15.91,16.12,15.77,15.99,15.99,"834,500"
"Nov 15, 2019",15.88,15.99,15.61,15.94,15.94,"853,100"
"Nov 14, 2019",16.15,16.18,15.63,15.81,15.81,"1,066,200"
"Nov 13, 2019",15.56,16.28,15.48,16.18,16.18,"1,730,800"
"Nov 12, 2019",16.20,16.30,15.51,15.59,15.59,"2,359,500"
"Nov 11, 2019",16.86,16.91,16.43,16.44,16.44,"889,500"
"Nov 08, 2019",16.64,16.98,16.41,16.95,16.95,"661,600"
"Nov 07, 2019",16.70,16.82,16.58,16.71,16.71,"786,100"
"Nov 06, 2019",16.44,16.63,16.20,16.52,16.52,"1,156,700"
"Nov 05, 2019",16.96,17.06,16.44,16.46,16.46,"1,027,500"
"Nov 04, 2019",17.29,17.40,16.84,16.88,16.88,"724,700"
"Nov 01, 2019",16.99,17.22,16.79,17.10,17.10,"697,300"
"Oct 31, 2019",16.82,16.96,16.46,16.92,16.92,"1,115,500"
"Oct 30, 2019",16.71,16.86,16.56,16.84,16.84,"616,100"
"Oct 29, 2019",16.72,16.81,16.50,16.68,16.68,"686,300"
"Oct 28, 2019",16.60,16.98,16.52,16.80,16.80,"996,100"
"Oct 25, 2019",16.26,16.65,16.15,16.52,16.52,"790,300"
"Oct 24, 2019",15.94,16.48,15.89,16.36,16.36,"1,854,600"
"Oct 23, 2019",15.73,16.14,15.73,15.77,15.77,"818,800"
"Oct 22, 2019",15.97,16.03,15.77,15.85,15.85,"680,000"
"Oct 21, 2019",15.96,16.03,15.71,15.94,15.94,"1,218,100"
"Oct 18, 2019",16.29,16.35,15.77,15.78,15.78,"1,526,000"
"Oct 17, 2019",16.56,16.70,16.37,16.41,16.41,"790,800"
"Oct 16, 2019",16.67,16.69,16.29,16.45,16.45,"1,143,400"
"Oct 15, 2019",16.78,16.97,16.66,16.83,16.83,"824,700"
"Oct 14, 2019",16.73,16.95,16.18,16.78,16.78,"2,001,300"
"Oct 11, 2019",16.59,16.92,16.51,16.75,16.75,"1,396,500"
"Oct 10, 2019",16.62,16.65,16.24,16.40,16.40,"1,095,800"
"Oct 09, 2019",16.56,16.69,16.40,16.63,16.63,"940,300"
"Oct 08, 2019",16.81,16.83,16.38,16.42,16.42,"1,013,400"
"Oct 07, 2019",17.02,17.24,16.89,16.92,16.92,"2,147,500"
"Oct 04, 2019",17.18,17.32,16.88,17.09,17.09,"1,131,500"
"Oct 03, 2019",16.83,16.98,16.43,16.95,16.95,"1,372,100"
"Oct 02, 2019",16.52,17.02,16.46,16.92,16.92,"2,266,200"
"Oct 01, 2019",16.66,17.09,16.54,16.75,16.75,"2,502,100"
"Sep 30, 2019",15.95,16.64,15.86,16.56,16.56,"1,722,700"
"Sep 27, 2019",16.30,16.43,15.77,15.96,15.96,"4,502,300"
"Sep 26, 2019",17.09,17.39,17.00,17.05,17.05,"823,000"
"Sep 25, 2019",16.77,17.25,16.48,17.16,17.16,"1,363,400"
"Sep 24, 2019",17.08,17.21,16.42,16.74,16.74,"2,896,300"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
