Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 16, 2019",6.75,6.90,5.95,6.75,6.75,"1,626,900"
"Dec 13, 2019",7.22,7.47,7.09,7.20,7.20,"458,200"
"Dec 12, 2019",7.62,7.66,6.85,7.26,7.26,"885,100"
"Dec 11, 2019",7.84,8.00,7.49,7.62,7.62,"1,068,100"
"Dec 10, 2019",7.41,7.93,7.05,7.70,7.70,"1,148,700"
"Dec 09, 2019",6.30,7.34,6.27,7.34,7.34,"1,090,500"
"Dec 06, 2019",5.98,6.43,5.91,6.30,6.30,"625,800"
"Dec 05, 2019",5.92,6.03,5.70,5.76,5.76,"267,500"
"Dec 04, 2019",5.82,6.06,5.80,5.92,5.92,"280,000"
"Dec 03, 2019",5.96,6.40,5.50,5.90,5.90,"643,000"
"Dec 02, 2019",5.95,6.31,5.95,6.14,6.14,"354,600"
"Nov 29, 2019",6.16,6.40,6.15,6.35,6.35,"137,200"
"Nov 27, 2019",6.30,6.35,6.04,6.21,6.21,"429,000"
"Nov 26, 2019",6.17,6.47,6.13,6.34,6.34,"570,600"
"Nov 25, 2019",6.04,6.30,5.75,6.06,6.06,"857,800"
"Nov 22, 2019",5.89,6.20,5.70,5.92,5.92,"953,700"
"Nov 21, 2019",5.42,6.00,5.34,5.79,5.79,"569,400"
"Nov 20, 2019",5.11,5.65,4.98,5.50,5.50,"859,900"
"Nov 19, 2019",5.04,5.18,4.81,4.81,4.81,"284,300"
"Nov 18, 2019",5.10,5.12,4.91,5.05,5.05,"510,000"
"Nov 15, 2019",5.13,5.13,4.86,4.99,4.99,"350,600"
"Nov 14, 2019",4.77,5.01,4.75,4.96,4.96,"188,400"
"Nov 13, 2019",4.78,4.98,4.70,4.77,4.77,"550,900"
"Nov 12, 2019",4.95,5.19,4.88,5.00,5.00,"359,700"
"Nov 11, 2019",4.79,5.10,4.71,4.90,4.90,"239,000"
"Nov 08, 2019",5.35,5.47,4.85,4.85,4.85,"630,400"
"Nov 07, 2019",5.53,5.64,5.28,5.41,5.41,"199,800"
"Nov 06, 2019",5.59,5.75,5.23,5.42,5.42,"271,000"
"Nov 05, 2019",5.10,5.74,5.10,5.53,5.53,"884,300"
"Nov 04, 2019",4.92,5.20,4.80,5.07,5.07,"377,000"
"Nov 01, 2019",4.50,5.17,4.34,4.95,4.95,"393,000"
"Oct 31, 2019",4.69,4.71,4.29,4.49,4.49,"309,600"
"Oct 30, 2019",4.68,4.90,4.52,4.61,4.61,"218,400"
"Oct 29, 2019",4.35,5.05,4.35,4.71,4.71,"772,100"
"Oct 28, 2019",4.12,4.44,4.09,4.35,4.35,"495,700"
"Oct 25, 2019",4.11,4.25,4.01,4.14,4.14,"299,200"
"Oct 24, 2019",4.05,4.21,3.73,4.15,4.15,"343,000"
"Oct 23, 2019",3.65,4.30,3.59,4.00,4.00,"708,600"
"Oct 22, 2019",3.46,3.72,3.46,3.62,3.62,"262,300"
"Oct 21, 2019",3.60,3.65,3.41,3.45,3.45,"273,700"
"Oct 18, 2019",3.55,3.69,3.41,3.59,3.59,"177,100"
"Oct 17, 2019",3.45,3.62,3.42,3.55,3.55,"232,800"
"Oct 16, 2019",3.41,3.52,3.38,3.45,3.45,"213,200"
"Oct 15, 2019",3.30,3.47,3.27,3.41,3.41,"198,500"
"Oct 14, 2019",3.42,3.43,3.27,3.34,3.34,"154,900"
"Oct 11, 2019",3.38,3.49,3.36,3.43,3.43,"164,900"
"Oct 10, 2019",3.37,3.49,3.25,3.35,3.35,"343,100"
"Oct 09, 2019",3.54,3.55,3.30,3.39,3.39,"294,600"
"Oct 08, 2019",3.66,3.69,3.35,3.54,3.54,"227,600"
"Oct 07, 2019",3.87,3.94,3.53,3.64,3.64,"293,200"
"Oct 04, 2019",3.85,4.06,3.83,3.89,3.89,"611,600"
"Oct 03, 2019",4.11,4.11,3.75,3.82,3.82,"327,100"
"Oct 02, 2019",4.35,4.35,4.01,4.15,4.15,"293,600"
"Oct 01, 2019",4.15,4.34,4.05,4.05,4.05,"380,900"
"Sep 30, 2019",4.15,4.29,4.01,4.16,4.16,"224,600"
"Sep 27, 2019",3.92,4.39,3.91,4.25,4.25,"358,600"
"Sep 26, 2019",4.30,4.44,3.93,3.97,3.97,"727,700"
"Sep 25, 2019",4.31,4.42,4.25,4.34,4.34,"331,900"
"Sep 24, 2019",4.46,4.47,4.18,4.34,4.34,"982,600"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
