Date,Open,High,Low,Close*,Adj Close**,Volume

"Dec 05, 2019",199.86,201.29,198.21,199.36,199.36,"9,740,400"
"Dec 04, 2019",200.00,200.03,198.05,198.71,198.71,"8,456,300"
"Dec 03, 2019",197.60,198.93,195.08,198.82,198.82,"11,595,300"
"Dec 02, 2019",202.13,202.18,198.05,199.70,199.70,"11,503,400"
"Nov 29, 2019",201.60,203.80,201.21,201.64,201.64,"7,985,200"
"Nov 27, 2019",199.90,203.14,199.42,202.00,202.00,"12,736,600"
"Nov 26, 2019",200.00,200.15,198.04,198.97,198.97,"11,735,500"
"Nov 25, 2019",199.52,200.97,199.25,199.79,199.79,"15,272,300"
"Nov 22, 2019",198.38,199.30,197.62,198.82,198.82,"9,959,800"
"Nov 21, 2019",197.42,199.09,196.86,197.93,197.93,"12,131,000"
"Nov 20, 2019",198.58,199.59,195.43,197.51,197.51,"12,355,400"
"Nov 19, 2019",197.40,200.00,196.86,199.32,199.32,"19,056,800"
"Nov 18, 2019",194.56,198.63,193.05,197.40,197.40,"16,167,200"
"Nov 15, 2019",194.26,195.30,193.38,195.10,195.10,"11,524,300"
"Nov 14, 2019",192.93,194.03,191.45,193.15,193.15,"9,040,500"
"Nov 13, 2019",194.70,195.70,192.74,193.19,193.19,"10,860,700"
"Nov 12, 2019",190.00,195.06,189.74,194.47,194.47,"17,615,500"
"Nov 11, 2019",189.93,190.08,188.54,189.61,189.61,"8,631,200"
"Nov 08, 2019",190.00,192.34,189.70,190.84,190.84,"10,760,800"
"Nov 07, 2019",191.91,193.44,189.47,190.42,190.42,"13,473,000"
"Nov 06, 2019",194.03,194.37,191.35,191.55,191.55,"10,973,000"
"Nov 05, 2019",195.37,195.75,193.60,194.32,194.32,"9,942,000"
"Nov 04, 2019",194.55,197.37,193.81,194.72,194.72,"16,371,300"
"Nov 01, 2019",192.85,194.11,189.91,193.62,193.62,"21,711,800"
"Oct 31, 2019",196.70,198.09,188.25,191.65,191.65,"42,286,500"
"Oct 30, 2019",189.56,190.45,185.98,188.25,188.25,"28,734,600"
"Oct 29, 2019",191.69,192.53,188.47,189.31,189.31,"13,574,900"
"Oct 28, 2019",187.20,189.53,185.08,189.40,189.40,"13,657,900"
"Oct 25, 2019",185.83,189.00,185.09,187.89,187.89,"8,061,200"
"Oct 24, 2019",184.62,186.73,182.80,186.38,186.38,"11,413,500"
"Oct 23, 2019",182.01,186.38,182.00,186.15,186.15,"12,300,400"
"Oct 22, 2019",190.00,190.65,181.50,182.34,182.34,"19,537,600"
"Oct 21, 2019",187.04,189.91,186.75,189.76,189.76,"8,122,600"
"Oct 18, 2019",190.23,191.49,183.92,185.85,185.85,"16,874,200"
"Oct 17, 2019",190.30,190.84,188.77,190.39,190.39,"9,603,000"
"Oct 16, 2019",188.32,189.70,186.90,189.55,189.55,"10,516,900"
"Oct 15, 2019",183.80,190.38,183.66,188.89,188.89,"15,039,100"
"Oct 14, 2019",184.20,184.62,182.57,183.28,183.28,"7,006,000"
"Oct 11, 2019",182.15,186.49,182.14,184.19,184.19,"14,930,500"
"Oct 10, 2019",180.32,181.61,179.17,180.03,180.03,"8,605,000"
"Oct 09, 2019",179.16,180.72,177.94,179.85,179.85,"7,556,900"
"Oct 08, 2019",178.26,180.37,177.72,177.75,177.75,"9,466,900"
"Oct 07, 2019",180.00,181.18,178.09,179.68,179.68,"9,178,300"
"Oct 04, 2019",179.55,180.98,178.10,180.45,180.45,"10,430,200"
"Oct 03, 2019",175.57,179.84,173.63,179.38,179.38,"16,086,300"
"Oct 02, 2019",174.84,176.53,173.09,174.60,174.60,"16,151,700"
"Oct 01, 2019",179.15,179.84,174.88,175.81,175.81,"17,073,000"
"Sep 30, 2019",177.87,178.67,176.85,178.08,178.08,"10,740,000"
"Sep 27, 2019",180.49,180.76,175.66,177.10,177.10,"14,656,200"
"Sep 26, 2019",181.33,181.40,177.67,180.11,180.11,"16,083,300"
"Sep 25, 2019",181.45,183.42,177.87,182.80,182.80,"18,068,300"
"Sep 24, 2019",187.98,188.04,180.39,181.28,181.28,"18,546,600"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
