Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 03, 2020",79.33,79.80,78.37,79.38,79.38,"247,900"
"Jan 02, 2020",84.11,84.48,79.80,80.31,80.31,"274,000"
"Dec 31, 2019",82.94,84.56,82.68,83.52,83.52,"218,900"
"Dec 30, 2019",84.58,84.63,82.80,83.05,83.05,"185,800"
"Dec 27, 2019",86.16,86.50,84.50,84.58,84.58,"212,800"
"Dec 26, 2019",84.89,86.00,84.51,85.78,85.78,"223,500"
"Dec 24, 2019",86.05,86.07,84.26,84.71,84.71,"104,700"
"Dec 23, 2019",84.93,86.93,84.40,85.87,85.87,"330,100"
"Dec 20, 2019",85.13,85.75,83.76,84.95,84.95,"672,000"
"Dec 19, 2019",80.12,84.51,79.65,84.40,84.40,"422,600"
"Dec 18, 2019",79.34,81.23,78.64,80.12,80.12,"426,500"
"Dec 17, 2019",80.71,80.99,76.89,79.31,79.31,"486,300"
"Dec 16, 2019",83.62,83.65,80.52,80.58,80.58,"372,900"
"Dec 13, 2019",85.41,86.39,83.02,83.14,83.14,"220,800"
"Dec 12, 2019",83.14,85.85,82.80,85.04,85.04,"379,000"
"Dec 11, 2019",84.13,84.78,83.00,83.54,83.54,"192,500"
"Dec 10, 2019",84.20,85.00,83.51,84.25,84.25,"377,600"
"Dec 09, 2019",82.55,84.44,81.65,84.27,84.27,"473,400"
"Dec 06, 2019",85.26,86.08,82.50,82.91,82.91,"290,000"
"Dec 05, 2019",84.28,85.00,82.87,84.15,84.15,"608,900"
"Dec 04, 2019",84.27,85.34,83.59,84.23,84.23,"568,000"
"Dec 03, 2019",82.59,84.52,82.03,83.52,83.52,"539,200"
"Dec 02, 2019",87.40,87.40,83.33,84.06,84.06,"616,300"
"Nov 29, 2019",88.56,88.88,86.80,87.25,87.25,"172,400"
"Nov 27, 2019",89.27,89.75,87.37,88.90,88.90,"298,800"
"Nov 26, 2019",87.98,90.31,87.86,89.15,89.15,"294,600"
"Nov 25, 2019",90.69,91.69,87.35,87.92,87.92,"356,900"
"Nov 22, 2019",89.85,90.42,89.05,90.29,90.29,"371,400"
"Nov 21, 2019",87.03,89.85,86.71,89.20,89.20,"280,500"
"Nov 20, 2019",86.28,88.33,85.15,86.71,86.71,"228,100"
"Nov 19, 2019",88.23,88.36,84.43,87.01,87.01,"253,300"
"Nov 18, 2019",86.03,89.55,85.30,88.07,88.07,"491,400"
"Nov 15, 2019",86.48,86.83,84.50,85.70,85.70,"427,500"
"Nov 14, 2019",85.93,88.47,84.50,85.77,85.77,"342,500"
"Nov 13, 2019",87.39,87.39,84.40,85.92,85.92,"562,200"
"Nov 12, 2019",88.75,90.20,87.47,87.65,87.65,"323,800"
"Nov 11, 2019",90.75,90.83,87.18,89.29,89.29,"427,900"
"Nov 08, 2019",96.47,97.50,90.38,90.75,90.75,"1,854,700"
"Nov 07, 2019",84.00,84.76,80.21,80.82,80.82,"612,500"
"Nov 06, 2019",86.81,86.86,83.58,83.72,83.72,"393,900"
"Nov 05, 2019",86.46,88.34,85.14,86.96,86.96,"345,500"
"Nov 04, 2019",84.17,87.05,83.67,86.70,86.70,"274,600"
"Nov 01, 2019",85.47,86.05,83.18,84.04,84.04,"274,400"
"Oct 31, 2019",86.90,86.97,83.79,84.43,84.43,"274,500"
"Oct 30, 2019",85.99,87.77,83.98,87.02,87.02,"346,800"
"Oct 29, 2019",93.00,93.07,85.71,85.73,85.73,"708,600"
"Oct 28, 2019",92.50,93.86,91.55,93.07,93.07,"372,800"
"Oct 25, 2019",90.66,92.25,90.10,92.01,92.01,"545,100"
"Oct 24, 2019",91.62,91.62,89.68,91.28,91.28,"386,100"
"Oct 23, 2019",90.00,91.76,88.33,91.25,91.25,"605,300"
"Oct 22, 2019",90.30,94.74,87.50,90.68,90.68,"2,326,700"
"Oct 21, 2019",76.17,77.42,75.71,76.13,76.13,"257,900"
"Oct 18, 2019",76.40,76.49,74.00,75.58,75.58,"255,700"
"Oct 17, 2019",76.27,77.53,75.67,76.90,76.90,"291,800"
"Oct 16, 2019",75.49,77.25,74.73,76.02,76.02,"278,900"
"Oct 15, 2019",74.97,76.17,73.78,75.50,75.50,"330,900"
"Oct 14, 2019",75.06,76.26,74.26,74.97,74.97,"219,700"
"Oct 11, 2019",75.99,78.20,75.13,75.23,75.23,"374,000"
"Oct 10, 2019",73.83,75.42,73.60,75.04,75.04,"211,800"
"Oct 09, 2019",75.01,75.50,73.26,73.72,73.72,"223,500"
"Oct 08, 2019",74.02,75.47,73.18,74.20,74.20,"220,700"
"Oct 07, 2019",75.50,76.10,74.34,74.88,74.88,"287,900"
"Oct 04, 2019",73.89,77.50,73.87,75.91,75.91,"377,900"
"Oct 03, 2019",71.56,72.97,69.54,72.85,72.85,"289,000"
"Oct 02, 2019",71.62,72.99,70.04,71.61,71.61,"315,200"
"Oct 01, 2019",74.93,76.26,72.05,72.38,72.38,"317,400"
"Sep 30, 2019",74.50,74.95,72.58,74.45,74.45,"271,700"
"Sep 27, 2019",73.38,75.25,73.33,74.26,74.26,"289,700"
"Sep 26, 2019",73.82,74.05,72.01,73.28,73.28,"259,400"
"Sep 25, 2019",71.53,74.30,71.53,73.92,73.92,"357,100"
"Sep 24, 2019",72.95,74.30,70.66,71.72,71.72,"362,400"
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.
